dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000941,0.973950,0.000655,0.065492,3.274615,163.730761,6.282219
0.020000,0.000814,0.973950,0.000782,0.006367,-2.956259,-311.543699,6.282350
0.020000,0.000559,0.973950,0.001037,0.012739,0.318607,163.743274,6.282611
0.020000,0.000177,0.973950,0.001419,0.019121,0.319108,0.025042,6.283004
0.020000,0.006520,0.973951,0.007763,0.317178,14.902822,729.185701,0.000343
0.020000,0.018977,0.973959,0.020220,0.622860,15.284083,19.063072,0.000999
0.020000,0.033928,0.973980,0.035171,0.747555,6.234769,-452.465693,0.001788
0.020000,0.051368,0.974020,0.052611,0.871959,6.220197,-0.728594,0.002711
0.020000,0.071294,0.974084,0.072537,0.996340,6.219042,-0.057772,0.003769
0.020000,0.093707,0.974182,0.094950,1.120640,6.214995,-0.202347,0.004964
0.020000,0.118607,0.974322,0.119851,1.245042,6.220146,0.257547,0.006296
0.020000,0.145990,0.974515,0.147235,1.369188,6.207277,-0.643461,0.007767
0.020000,0.175855,0.974771,0.177101,1.493294,6.205323,-0.097667,0.009380
0.020000,0.208198,0.975102,0.209445,1.617222,6.196358,-0.448240,0.011135
0.020000,0.243021,0.975523,0.244271,1.741274,6.202633,0.313733,0.013036
0.020000,0.280318,0.976048,0.281571,1.865029,6.187720,-0.745652,0.015084
0.020000,0.320086,0.976691,0.321344,1.988650,6.181077,-0.332159,0.017282
0.020000,0.362325,0.977471,0.363591,2.112328,6.183871,0.139698,0.019633
0.020000,0.407028,0.978405,0.408304,2.235655,6.166370,-0.875033,0.022140
0.020000,0.454192,0.979512,0.455481,2.358856,6.160055,-0.315773,0.024806
0.020000,0.503814,0.980813,0.505119,2.481924,6.153394,-0.333035,0.027634
0.020000,0.555890,0.982331,0.557217,2.604905,6.149060,-0.216703,0.030629
0.020000,0.610413,0.984087,0.611769,2.727569,6.133198,-0.793112,0.033793
0.020000,0.667378,0.986108,0.668770,2.850041,6.123593,-0.480248,0.037132
0.020000,0.726779,0.988419,0.728216,2.972324,6.114162,-0.471549,0.040649
0.020000,0.788613,0.991048,0.790106,3.094496,6.108575,-0.279316,0.044349
0.020000,0.852867,0.994025,0.854429,3.216141,6.082260,-1.315787,0.048238
0.020000,0.919540,0.997380,0.921186,3.337846,6.085234,0.148688,0.052320
0.020000,0.988619,1.001145,0.990368,3.459090,6.062197,-1.151827,0.056601
0.020000,1.060096,1.005356,1.061969,3.580052,6.048105,-0.704601,0.061088
0.020000,1.133961,1.010047,1.135983,3.700698,6.032321,-0.789209,0.065787
0.020000,1.210205,1.015258,1.212404,3.821067,6.018440,-0.694055,0.070703
0.020000,1.288816,1.021028,1.291227,3.941136,6.003473,-0.748347,0.075846
0.020000,1.369780,1.027399,1.372441,4.060707,5.978534,-1.246939,0.081221
0.020000,1.453083,1.034415,1.456039,4.179920,5.960633,-0.895047,0.086837
0.020000,1.538713,1.042122,1.542015,4.298802,5.944123,-0.825479,0.092703
0.020000,1.626654,1.050569,1.630360,4.417261,5.922924,-1.059983,0.098827
0.020000,1.716886,1.059806,1.721064,4.535200,5.896959,-1.298222,0.105219
0.020000,1.809389,1.069886,1.814115,4.652530,5.866504,-1.522785,0.111888
0.020000,1.904149,1.080866,1.909509,4.769674,5.857208,-0.464786,0.118845
0.020000,2.001137,1.092803,2.007229,4.886018,5.817215,-1.999632,0.126102
0.020000,2.100332,1.105759,2.107266,5.001862,5.792158,-1.252865,0.133669
0.020000,2.201707,1.119797,2.209608,5.117101,5.761974,-1.509175,0.141558
0.020000,2.305233,1.134984,2.314243,5.231725,5.731184,-1.539502,0.149784
0.020000,2.410882,1.151390,2.421158,5.345774,5.702465,-1.435983,0.158359
0.020000,2.518619,1.169087,2.530339,5.459039,5.663272,-1.959641,0.167297
0.020000,2.628408,1.188153,2.641771,5.571587,5.627400,-1.793618,0.176613
0.020000,2.740210,1.208665,2.755439,5.683393,5.590273,-1.856343,0.186323
0.020000,2.853981,1.230706,2.871325,5.794334,5.547066,-2.160324,0.196443
0.020000,2.969681,1.254364,2.989419,5.904685,5.517535,-1.476546,0.206990
