dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,-0.000941,-0.973950,0.000655,0.065492,3.274615,163.730761,6.282219
0.020000,-0.000814,-0.973950,0.000782,0.006367,-2.956259,-311.543699,6.282350
0.020000,-0.000559,-0.973950,0.001037,0.012739,0.318607,163.743274,6.282611
0.020000,-0.000177,-0.973950,0.001419,0.019121,0.319108,0.025042,6.283004
0.020000,0.007188,-0.973949,0.008784,0.368232,17.455517,856.820474,0.000343
0.020000,0.020923,-0.973940,0.022519,0.686763,15.926575,-76.447099,0.000999
0.020000,0.037412,-0.973917,0.039008,0.824427,6.883173,-452.170106,0.001788
0.020000,0.056649,-0.973873,0.058245,0.961865,6.871906,-0.563328,0.002711
0.020000,0.078637,-0.973802,0.080233,1.099390,6.876264,0.217887,0.003769
0.020000,0.103376,-0.973694,0.104972,1.236956,6.878279,0.100725,0.004964
0.020000,0.130871,-0.973539,0.132468,1.374782,6.891314,0.651776,0.006296
0.020000,0.161120,-0.973327,0.162718,1.512489,6.885339,-0.298733,0.007767
0.020000,0.194125,-0.973044,0.195724,1.650335,6.892321,0.349079,0.009380
0.020000,0.229887,-0.972677,0.231488,1.788185,6.892484,0.008145,0.011135
0.020000,0.268412,-0.972211,0.270016,1.926394,6.910459,0.898769,0.013036
0.020000,0.309698,-0.971631,0.311306,2.064514,6.905992,-0.223373,0.015084
0.020000,0.353748,-0.970918,0.355361,2.202748,6.911685,0.284632,0.017282
0.020000,0.400566,-0.970054,0.402188,2.341326,6.928896,0.860583,0.019633
0.020000,0.450152,-0.969018,0.451784,2.479820,6.924715,-0.209059,0.022140
0.020000,0.502507,-0.967789,0.504154,2.618501,6.934059,0.467199,0.024806
0.020000,0.557636,-0.966343,0.559302,2.757385,6.944207,0.507392,0.027634
0.020000,0.615542,-0.964656,0.617233,2.896549,6.958181,0.698706,0.030629
0.020000,0.676226,-0.962701,0.677948,3.035761,6.960622,0.122045,0.033793
0.020000,0.739690,-0.960449,0.741452,3.175188,6.971351,0.536453,0.037132
0.020000,0.805937,-0.957872,0.807749,3.314862,6.983676,0.616273,0.040649
0.020000,0.874973,-0.954936,0.876847,3.454897,7.001768,0.904559,0.044349
0.020000,0.946793,-0.951609,0.948744,3.594862,6.998239,-0.176449,0.048238
0.020000,1.021407,-0.947855,1.023453,3.735443,7.029038,1.539951,0.052320
0.020000,1.098814,-0.943635,1.100975,3.876091,7.032444,0.170332,0.056601
0.020000,1.179016,-0.938911,1.181316,4.017044,7.047604,0.758004,0.061088
0.020000,1.262015,-0.933639,1.264482,4.158298,7.062715,0.755516,0.065787
0.020000,1.347813,-0.927775,1.350480,4.299936,7.081907,0.959615,0.070703
0.020000,1.436415,-0.921272,1.439320,4.441975,7.101929,1.001101,0.075846
0.020000,1.527817,-0.914079,1.531004,4.584231,7.112840,0.545567,0.081221
0.020000,1.622021,-0.906145,1.625543,4.726910,7.133910,1.053476,0.086837
0.020000,1.719031,-0.897414,1.722944,4.870088,7.158920,1.250505,0.092703
0.020000,1.818846,-0.887826,1.823219,5.013710,7.181101,1.109056,0.098827
0.020000,1.921464,-0.877321,1.926373,5.157719,7.200446,0.967265,0.105219
0.020000,2.026881,-0.865834,2.032414,5.302066,7.217343,0.844834,0.111888
0.020000,2.135103,-0.853294,2.141360,5.447290,7.261194,2.192552,0.118845
0.020000,2.246120,-0.839630,2.253215,5.592749,7.272982,0.589393,0.126102
0.020000,2.359930,-0.824765,2.367992,5.738847,7.304860,1.593915,0.133669
0.020000,2.476528,-0.808619,2.485703,5.885528,7.334063,1.460133,0.141558
0.020000,2.595907,-0.791106,2.606359,6.032845,7.365870,1.590376,0.149784
0.020000,2.718062,-0.772137,2.729978,6.180915,7.403502,1.881580,0.158359
0.020000,2.842979,-0.751617,2.856569,6.329566,7.432550,1.452382,0.167297
0.020000,2.970647,-0.729447,2.986148,6.478946,7.469011,1.823085,0.176613
0.020000,3.101052,-0.705521,3.118730,6.629100,7.507688,1.933815,0.186323
0.020000,3.234176,-0.679730,3.254329,6.779960,7.542969,1.764079,0.196443
